strategy	task_idx	routed_tier	suffix	model	cost_usd	duration_ms	input_tokens	output_tokens	correct	result_snippet
3tier_haiku_cap15	18	sonnet	none	claude-haiku-4-5-20251001	0.0119715	8303	4	454	1	### Binary `1101` → Decimal `13`  ``` 1×2³  +  1×2²  +  0×2¹  +  1×2⁰
3tier_haiku_cap15	19	sonnet	none	claude-haiku-4-5-20251001	0.0038068	3782	3	87	1	Mergesort splits the array in half **log n** times (the recursion depth), and at
3tier_haiku_cap15	20	sonnet	none	claude-haiku-4-5-20251001	0.0035033	2616	3	69	1	The halting problem is the proven-undecidable question of whether a general algo
3tier_haiku_cap30	1	sonnet	none	claude-haiku-4-5-20251001	0.00253805	2452	3	5	1	4
3tier_haiku_cap30	2	haiku	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.0028339999999999997	1688	1963	71	1	Paris
3tier_haiku_cap30	3	sonnet	none	claude-haiku-4-5-20251001	0.00254755	1732	3	5	1	olleh
3tier_haiku_cap30	4	sonnet	none	claude-haiku-4-5-20251001	0.0025335500000000003	2268	3	5	1	49
3tier_haiku_cap30	5	sonnet	none	claude-haiku-4-5-20251001	0.0025628	1492	3	5	1	11
3tier_haiku_cap30	6	sonnet	none	claude-haiku-4-5-20251001	0.0025335500000000003	1899	3	5	1	2
3tier_haiku_cap30	7	sonnet	none	claude-haiku-4-5-20251001	0.0025285500000000005	1421	3	5	1	7
3tier_haiku_cap30	8	sonnet	none	claude-sonnet-4-6	0.00205155	1509	3	5	1	100
3tier_haiku_cap30	9	sonnet	none	claude-sonnet-4-6	0.00203655	1659	3	5	1	65
3tier_haiku_cap30	10	sonnet	none	claude-haiku-4-5-20251001	0.0025530500000000003	1917	3	5	1	29
3tier_haiku_cap30	11	sonnet	none	claude-haiku-4-5-20251001	0.0028263	1552	3	19	1	```python print(sum(range(1, 101))) ```
3tier_haiku_cap30	12	sonnet	none	claude-haiku-4-5-20251001	0.0011700999999999999	1476	3	8	1	O(log n)
3tier_haiku_cap30	13	sonnet	none	claude-haiku-4-5-20251001	0.0012140000000000002	1560	3	10	1	`lst[::-1]`
3tier_haiku_cap30	14	sonnet	none	claude-haiku-4-5-20251001	0.001219	3433	3	11	1	1, 2, 3
3tier_haiku_cap30	15	sonnet	none	claude-haiku-4-5-20251001	0.0019601	2758	3	60	1	**TCP** (Transmission Control Protocol) is connection-oriented, requiring a thre
3tier_haiku_cap30	16	sonnet	none	claude-haiku-4-5-20251001	0.0030900999999999997	3516	3	135	1	**BFS (Breadth-First Search)** explores a graph level by level, visiting all nei
3tier_haiku_cap30	17	sonnet	none	claude-haiku-4-5-20251001	0.02501785	21679	7	1026	1	Everything works. Here's a full walkthrough of `fibonacci.py`:  ---  ### `fibona
3tier_haiku_cap30	18	sonnet	none	claude-haiku-4-5-20251001	0.00823215	7495	4	363	1	**1101₂ = 13₁₀**  ``` 1×2³ + 1×2² + 0×2¹ + 1×2⁰  =  8 + 4 + 0 + 1
3tier_haiku_cap30	19	sonnet	none	claude-haiku-4-5-20251001	0.0024015999999999994	3170	3	89	1	Mergesort splits the array in half at each of **log n** levels of recursion, and
3tier_haiku_cap30	20	sonnet	none	claude-haiku-4-5-20251001	0.0022088	3103	3	77	1	The **halting problem** is the proven-undecidable question of whether a general 
3tier_global_cap30	1	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.0025710499999999996	4486	3	5	1	4
3tier_global_cap30	2	haiku	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.002779	1291	1963	60	1	Paris
3tier_global_cap30	3	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.00258555	1541	3	5	1	olleh
3tier_global_cap30	4	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.00257155	1984	3	5	1	49
3tier_global_cap30	5	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.0026008000000000003	1733	3	5	1	11
3tier_global_cap30	6	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.00256655	1382	3	5	1	2
3tier_global_cap30	7	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.00257655	1466	3	5	1	7
3tier_global_cap30	8	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.0026095499999999995	11506	3	5	1	100
3tier_global_cap30	9	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.00260055	1328	3	5	1	65
3tier_global_cap30	10	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.0025910499999999997	1543	3	5	1	29
3tier_global_cap30	11	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.0028593000000000004	1625	3	19	1	```python print(sum(range(1, 101))) ```
3tier_global_cap30	12	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.0026210499999999998	1702	3	8	1	O(log n)
3tier_global_cap30	13	sonnet	Answer in <=30 tokens.	claude-sonnet-4-6	0.0021453	1657	3	10	1	`lst[::-1]`
3tier_global_cap30	14	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.0027003	1856	3	12	1	{1, 2, 3}
3tier_global_cap30	15	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.00289605	2210	3	26	1	TCP is connection-oriented (uses a handshake to establish a reliable connection)
3tier_global_cap30	16	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.00367605	4172	3	77	0	BFS explores level by level using a queue; DFS dives deep along branches using a
3tier_global_cap30	17	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.012216799999999998	10096	5	323	1	`fibonacci.py` already exists and is complete. Here's the core:  ```python from 
3tier_global_cap30	18	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.00409055	2604	3	104	1	**1101₂ → 8 + 4 + 0 + 1 = 13₁₀**
3tier_global_cap30	19	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.0037098	3322	3	78	1	It splits the array into log n levels of halves, and each level requires O(n) to
3tier_global_cap30	20	sonnet	Answer in <=30 tokens.	claude-haiku-4-5-20251001	0.0034963	2331	3	66	1	The halting problem is the undecidable question of whether a given program will 
