strategy	tau	task_idx	word_count	chosen_tier	model	cost_usd	duration_ms	input_tokens	output_tokens	correct	result_snippet
tau_50	50	17	7	sonnet	claude-haiku-4-5-20251001	0.025911000000000003	21347	7	1061	1	✅ Working perfectly. Here's a breakdown of the implementation in `fibonacci.py
tau_50	50	18	8	sonnet	claude-haiku-4-5-20251001	0.00974355	8531	4	368	1	### Binary `1101` → Decimal `13`  ``` 1×2³ + 1×2² + 0×2¹ + 1×2⁰ =  8 
tau_50	50	19	8	sonnet	claude-sonnet-4-6	0.0033117	2208	3	88	1	Mergesort splits the array in half at each of **log n** levels of recursion, and
tau_50	50	20	8	sonnet	claude-haiku-4-5-20251001	0.0035372	2651	3	70	1	The halting problem is the proven-undecidable question of whether a general algo
tau_80	80	1	8	sonnet	claude-haiku-4-5-20251001	0.0025519500000000003	1250	3	5	1	4
tau_80	80	2	5	sonnet	claude-haiku-4-5-20251001	0.00253845	1426	3	5	1	Paris.
tau_80	80	3	10	sonnet	claude-haiku-4-5-20251001	0.0038008	1682	3	5	1	olleh
tau_80	80	4	8	sonnet	claude-haiku-4-5-20251001	0.00255515	1231	3	5	1	49
tau_80	80	5	11	sonnet	claude-sonnet-4-6	0.0020544	1436	3	5	1	11
tau_80	80	6	8	sonnet	claude-haiku-4-5-20251001	0.00255515	1320	3	5	1	2
tau_80	80	7	8	sonnet	claude-haiku-4-5-20251001	0.00255015	1248	3	5	1	7
tau_80	80	8	14	sonnet	claude-sonnet-4-6	0.00330855	1592	3	5	1	100
tau_80	80	9	10	sonnet	claude-sonnet-4-6	0.00205845	1418	3	5	1	65
tau_80	80	10	9	sonnet	claude-haiku-4-5-20251001	0.0025749500000000003	1350	3	5	1	29
tau_80	80	11	12	sonnet	claude-haiku-4-5-20251001	0.0028382	2292	3	19	1	```python print(sum(range(1, 101))) ```
tau_80	80	12	9	sonnet	claude-haiku-4-5-20251001	0.0035662999999999997	2033	3	8	1	O(log n)
tau_80	80	13	13	sonnet	claude-haiku-4-5-20251001	0.0026422999999999998	1665	3	10	1	`lst[::-1]`
tau_80	80	14	8	sonnet	claude-haiku-4-5-20251001	0.0026473	2227	3	11	1	1, 2, 3
tau_80	80	15	10	sonnet	claude-haiku-4-5-20251001	0.0033780500000000005	2771	3	60	1	**TCP** (Transmission Control Protocol) is connection-oriented, establishing a r
tau_80	80	16	7	sonnet	claude-haiku-4-5-20251001	0.0045080499999999996	3457	3	135	1	**BFS (Breadth-First Search)** explores a graph level by level, visiting all nei
tau_80	80	17	7	sonnet	claude-haiku-4-5-20251001	0.0226935	17452	6	877	1	Everything is green. Here's a full walkthrough of the implementation:  ---  ## `
tau_80	80	18	8	sonnet	claude-haiku-4-5-20251001	0.0036927	3932	3	175	1	**Binary 1101 → Decimal**  1×2³ + 1×2² + 0×2¹ + 1×2⁰ = **8 + 4 + 0 + 
tau_80	80	19	8	sonnet	claude-haiku-4-5-20251001	0.0023715999999999997	2889	3	87	1	Mergesort splits the array in half at each of **log n** levels of recursion, and
tau_80	80	20	8	sonnet	claude-haiku-4-5-20251001	0.0021938	2858	3	76	1	The halting problem is the undecidable problem of determining, from an arbitrary
tau_100	100	1	8	sonnet	claude-haiku-4-5-20251001	0.0011151	1602	3	5	1	4
tau_100	100	2	5	sonnet	claude-haiku-4-5-20251001	0.0024995499999999997	2306	3	4	1	Paris
tau_100	100	3	10	sonnet	claude-haiku-4-5-20251001	0.0011227	1529	3	5	1	olleh
tau_100	100	4	8	sonnet	claude-sonnet-4-6	0.0006104999999999999	1488	3	5	1	49
tau_100	100	5	11	sonnet	claude-haiku-4-5-20251001	0.0011413999999999999	1838	3	5	1	11
tau_100	100	6	8	sonnet	claude-haiku-4-5-20251001	0.0011175	1818	3	5	1	2
tau_100	100	7	8	sonnet	claude-haiku-4-5-20251001	0.0011175	1701	3	5	1	7
tau_100	100	8	14	sonnet	claude-haiku-4-5-20251001	0.0011378999999999998	1663	3	5	1	100
tau_100	100	9	10	sonnet	claude-haiku-4-5-20251001	0.0011327	1521	3	5	1	65
tau_100	100	10	9	sonnet	claude-haiku-4-5-20251001	0.0011351	1787	3	5	1	29
tau_100	100	11	12	sonnet	claude-haiku-4-5-20251001	0.0013742	1469	3	19	1	```python print(sum(range(1, 101))) ```
tau_100	100	12	9	sonnet	claude-sonnet-4-6	0.0006561	1707	3	8	1	O(log n)
tau_100	100	13	13	sonnet	claude-haiku-4-5-20251001	0.0012140000000000002	1758	3	10	1	`lst[::-1]`
tau_100	100	14	8	sonnet	claude-haiku-4-5-20251001	0.001219	1526	3	11	1	1, 2, 3
tau_100	100	15	10	sonnet	claude-haiku-4-5-20251001	0.0019551	2388	3	60	1	**TCP** (Transmission Control Protocol) is connection-oriented, establishing a r
tau_100	100	16	7	sonnet	claude-haiku-4-5-20251001	0.0029850999999999996	3552	3	128	1	**BFS (Breadth-First Search)** explores a graph level by level, visiting all nei
tau_100	100	17	7	sonnet	claude-haiku-4-5-20251001	0.026086050000000003	22645	7	1083	1	Everything works. Here's a full walkthrough of `fibonacci.py`:  ---  ### How it 
tau_100	100	18	8	sonnet	claude-haiku-4-5-20251001	0.00823465	7162	4	367	1	**Binary `1101` → Decimal `13`**  ``` 1×2³  +  1×2²  +  0×2¹  +  1×2⁰
tau_100	100	19	8	sonnet	claude-haiku-4-5-20251001	0.0023866	3231	3	88	1	Mergesort splits the array in half at each of **log n** levels of recursion, and
tau_100	100	20	8	sonnet	claude-haiku-4-5-20251001	0.0022088	2752	3	77	1	The halting problem is the undecidable problem of determining, from an arbitrary
tau_120	120	1	8	sonnet	claude-haiku-4-5-20251001	0.0011201	1424	3	5	1	4
tau_120	120	2	5	sonnet	claude-haiku-4-5-20251001	0.0011072999999999999	1849	3	5	1	Paris.
tau_120	120	3	10	sonnet	claude-haiku-4-5-20251001	0.0011227	1488	3	5	1	olleh
tau_120	120	4	8	sonnet	claude-haiku-4-5-20251001	0.0011224999999999998	5097	3	5	1	49
tau_120	120	5	11	sonnet	claude-haiku-4-5-20251001	0.0011413999999999999	1721	3	5	1	11
tau_120	120	6	8	sonnet	claude-sonnet-4-6	0.0006104999999999999	1650	3	5	1	2
tau_120	120	7	8	sonnet	claude-haiku-4-5-20251001	0.0011175	1559	3	5	1	7
tau_120	120	8	14	sonnet	claude-haiku-4-5-20251001	0.0011429	1761	3	5	1	100
tau_120	120	9	10	sonnet	claude-haiku-4-5-20251001	0.0011327	1501	3	5	1	65
tau_120	120	10	9	sonnet	claude-haiku-4-5-20251001	0.0011351	1521	3	5	1	29
tau_120	120	11	12	sonnet	claude-haiku-4-5-20251001	0.0013742	3391	3	19	1	```python print(sum(range(1, 101))) ```
tau_120	120	12	9	sonnet	claude-haiku-4-5-20251001	0.0011700999999999999	1810	3	8	1	O(log n)
tau_120	120	13	13	sonnet	claude-haiku-4-5-20251001	0.0012140000000000002	1614	3	10	1	`lst[::-1]`
tau_120	120	14	8	sonnet	claude-haiku-4-5-20251001	0.001219	1617	3	11	1	1, 2, 3
tau_120	120	15	10	sonnet	claude-haiku-4-5-20251001	0.0019551	2241	3	60	1	**TCP** (Transmission Control Protocol) is connection-oriented, establishing a r
tau_120	120	16	7	sonnet	claude-haiku-4-5-20251001	0.0030251	3524	3	131	1	**BFS (Breadth-First Search)** explores a graph level by level, visiting all nei
tau_120	120	17	7	sonnet	claude-haiku-4-5-20251001	0.020547450000000002	17146	5	926	1	The file already exists and contains an even more complete implementation. Here'
tau_120	120	18	8	sonnet	claude-haiku-4-5-20251001	0.007480800000000001	4281	3	262	1	## Binary 1101 → Decimal  **One-line sum:**  | Bit | 1 | 1 | 0 | 1 | |---|---|
tau_120	120	19	8	sonnet	claude-haiku-4-5-20251001	0.0038278	2289	3	88	1	Mergesort splits the array in half **log n** times (the depth of the recursion t
tau_120	120	20	8	sonnet	claude-haiku-4-5-20251001	0.0036593	2134	3	79	1	The halting problem is the provably unsolvable problem of determining, from an a
tau_150	150	1	8	sonnet	claude-haiku-4-5-20251001	0.00253905	6189	3	5	1	4
tau_150	150	2	5	sonnet	claude-haiku-4-5-20251001	0.00252055	2078	3	5	1	Paris.
tau_150	150	3	10	sonnet	claude-sonnet-4-6	0.0020425499999999997	1107	3	5	1	olleh
tau_150	150	4	8	sonnet	claude-sonnet-4-6	0.0020275500000000004	1068	3	5	1	49
tau_150	150	5	11	sonnet	claude-sonnet-4-6	0.0020388	1157	3	5	1	11
tau_150	150	6	8	sonnet	claude-sonnet-4-6	0.0020275500000000004	1284	3	5	1	2
tau_150	150	7	8	sonnet	claude-haiku-4-5-20251001	0.0036418	1200	3	5	1	7
tau_150	150	8	14	sonnet	claude-haiku-4-5-20251001	0.0025911500000000004	1182	3	5	1	100
tau_150	150	9	10	sonnet	claude-sonnet-4-6	0.00204615	1077	3	5	1	65
tau_150	150	10	9	sonnet	claude-haiku-4-5-20251001	0.0025676500000000003	1099	3	5	1	29
tau_150	150	11	12	sonnet	claude-haiku-4-5-20251001	0.0028358999999999997	1249	3	19	1	```python print(sum(range(1, 101))) ```
tau_150	150	12	9	sonnet	claude-sonnet-4-6	0.0020836500000000003	1281	3	8	1	O(log n)
tau_150	150	13	13	sonnet	claude-haiku-4-5-20251001	0.0026519	2575	3	10	1	`lst[::-1]`
tau_150	150	14	8	sonnet	claude-haiku-4-5-20251001	0.0026569000000000002	3895	3	11	1	1, 2, 3
tau_150	150	15	10	sonnet	claude-haiku-4-5-20251001	0.00309765	3617	3	41	1	**TCP** is connection-oriented — it establishes a reliable, ordered connection
tau_150	150	16	7	sonnet	claude-haiku-4-5-20251001	0.0044576500000000005	5307	3	131	1	**BFS (Breadth-First Search)** explores a graph level by level, visiting all nei
tau_150	150	17	7	sonnet	claude-haiku-4-5-20251001	0.02775825	21417	7	1088	1	Everything works. Here's a walkthrough of the implementation in `fibonacci.py`: 
tau_150	150	18	8	sonnet	claude-haiku-4-5-20251001	0.01206505	9216	4	448	1	## Binary `1101` → Decimal `13`  ``` 1×2³  +  1×2²  +  0×2¹  +  1×2⁰ 
tau_150	150	19	8	sonnet	claude-haiku-4-5-20251001	0.0039040999999999998	3286	3	93	1	Mergesort splits the array in half at each of **log n** levels of recursion, and
tau_150	150	20	8	sonnet	claude-haiku-4-5-20251001	0.0035156	3631	3	69	1	The halting problem is the proven-undecidable question of whether a general algo
