strategy	tau	task_idx	dlg_tier	confidence	chosen_tier	model	cost_usd	duration_ms	correct	result_snippet
confgate_0.6	0.6	20	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.0172105	2601	1	The halting problem is the task of deciding, given an arbitrary program and inpu
confgate_0.7	0.7	1	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.01585275	4588	1	4
confgate_0.7	0.7	2	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.001923	1924	1	Paris
confgate_0.7	0.7	3	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.016091	1760	1	olleh
confgate_0.7	0.7	4	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.01601075	2096	1	49
confgate_0.7	0.7	5	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.016053750000000002	5493	1	11
confgate_0.7	0.7	6	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.016018249999999998	2365	1	2
confgate_0.7	0.7	7	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.0159945	1949	1	7
confgate_0.7	0.7	8	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.0160975	1679	1	100
confgate_0.7	0.7	9	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.016069749999999997	1575	1	65
confgate_0.7	0.7	10	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.016035249999999997	1816	1	29
confgate_0.7	0.7	11	sonnet	1.0	sonnet	claude-sonnet-4-6	0.0008495999999999999	1393	1	```python print(sum(range(1, 101))) ```
confgate_0.7	0.7	12	sonnet	0.966667	sonnet	claude-haiku-4-5-20251001	0.0026144500000000004	1938	1	O(log n)
confgate_0.7	0.7	13	sonnet	0.7	sonnet	claude-sonnet-4-6	0.0007134000000000001	1415	1	`lst[::-1]`
confgate_0.7	0.7	14	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.01619075	2259	0	{1,2,3}
confgate_0.7	0.7	15	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.017644	2512	1	TCP is connection-oriented (it establishes a reliable, ordered connection via a 
confgate_0.7	0.7	16	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.004312	3535	1	BFS (Breadth-First Search) explores a graph level by level, visiting all neighbo
confgate_0.7	0.7	17	sonnet	1.0	sonnet	claude-haiku-4-5-20251001	0.0184911	14525	1	Here's the implementation:  ```python from functools import cache  @cache def fi
confgate_0.7	0.7	18	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.01684225	2406	1	1×8 + 1×4 + 0×2 + 1×1 = 13
confgate_0.7	0.7	19	opus	0.9	opus	claude-haiku-4-5-20251001	0.0176215	2452	1	Mergesort recursively splits the array into halves (log n levels of recursion) a
confgate_0.7	0.7	20	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.017916750000000002	3784	1	The halting problem is the task of deciding, given an arbitrary program and inpu
confgate_0.8	0.8	1	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.016359	1797	1	4
confgate_0.8	0.8	2	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.01633425	1814	1	Paris
confgate_0.8	0.8	3	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.016103500000000003	4681	1	olleh
confgate_0.8	0.8	4	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.01602325	1981	1	49
confgate_0.8	0.8	5	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.01606625	2705	1	11
confgate_0.8	0.8	6	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.01539325	2381	1	2
confgate_0.8	0.8	7	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.015369500000000001	1490	1	7
confgate_0.8	0.8	8	sonnet	0.55	opus	claude-opus-4-7	0.0149425	1549	1	100
confgate_0.8	0.8	9	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.01544475	1605	1	65
confgate_0.8	0.8	10	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.01541525	1548	1	29
confgate_0.8	0.8	11	sonnet	1.0	sonnet	claude-haiku-4-5-20251001	0.00384455	2050	1	```python print(sum(range(1, 101))) ```
confgate_0.8	0.8	12	sonnet	0.966667	sonnet	claude-haiku-4-5-20251001	0.0025928500000000003	1637	1	O(log n)
confgate_0.8	0.8	13	sonnet	0.7	opus	claude-haiku-4-5-20251001	0.01563825	2201	1	`lst[::-1]`
confgate_0.8	0.8	14	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.01556575	1624	0	{1,2,3}
confgate_0.8	0.8	15	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.016949	3062	1	TCP is the connection-oriented protocol (it establishes a reliable, ordered sess
confgate_0.8	0.8	16	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.018709000000000003	3222	1	BFS (Breadth-First Search) explores a graph level by level using a queue, visiti
confgate_0.8	0.8	17	sonnet	1.0	sonnet	claude-haiku-4-5-20251001	0.015464100000000001	12236	1	Here's the implementation:  ```python from functools import cache  @cache def fi
confgate_0.8	0.8	18	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.016048499999999997	1802	1	1×8 + 1×4 + 0×2 + 1×1 = 13
confgate_0.8	0.8	19	opus	0.9	opus	claude-opus-4-7	0.01629875	2236	1	Mergesort is O(n log n) because it recursively halves the input (log n levels of
confgate_0.8	0.8	20	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.016948	2742	1	The halting problem is the task of deciding, given an arbitrary program and inpu
confgate_0.9	0.9	1	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.015395250000000001	1652	1	4
confgate_0.9	0.9	2	sonnet	0.55	opus	claude-opus-4-7	0.0148675	1613	1	Paris
confgate_0.9	0.9	3	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.015466	1672	1	olleh
confgate_0.9	0.9	4	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.015385749999999998	2607	1	49
confgate_0.9	0.9	5	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.015428749999999998	1586	1	11
confgate_0.9	0.9	6	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.0018635000000000001	1530	1	2
confgate_0.9	0.9	7	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.0018570000000000001	1535	1	7
confgate_0.9	0.9	8	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.001886	1590	1	100
confgate_0.9	0.9	9	sonnet	0.55	opus	claude-opus-4-7	0.0013595	1504	1	65
confgate_0.9	0.9	10	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.0018805000000000002	1666	1	29
confgate_0.9	0.9	11	sonnet	1.0	sonnet	claude-haiku-4-5-20251001	0.001369	1734	1	```python print(sum(range(1, 101))) ```
confgate_0.9	0.9	12	sonnet	0.966667	sonnet	claude-haiku-4-5-20251001	0.0011799	1428	1	O(log n)
confgate_0.9	0.9	13	sonnet	0.7	opus	claude-haiku-4-5-20251001	0.0020625	1540	1	`lst[::-1]`
confgate_0.9	0.9	14	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.0020015000000000002	1696	0	{1,2,3}
confgate_0.9	0.9	15	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.0034590000000000003	6002	1	TCP is the connection-oriented protocol (it establishes a session via a three-wa
confgate_0.9	0.9	16	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.0040869999999999995	2556	1	BFS (Breadth-First Search) explores a graph level by level, visiting all neighbo
confgate_0.9	0.9	17	sonnet	1.0	sonnet	claude-haiku-4-5-20251001	0.01565175	13943	1	Here's the implementation — clean, correct, and verified:  ```python from func
confgate_0.9	0.9	18	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.00249	1933	1	1·8 + 1·4 + 0·2 + 1·1 = 13
confgate_0.9	0.9	19	opus	0.9	opus	claude-haiku-4-5-20251001	0.0033185000000000003	2742	1	Mergesort is O(n log n) because it recursively splits the array in half (log n l
confgate_0.9	0.9	20	sonnet	0.55	opus	claude-haiku-4-5-20251001	0.003699	2947	1	The halting problem is the task of deciding, given an arbitrary program and inpu
