idx	word_count	stratum	prompt	expected_kw	expected_difficulty
102	5	wc_5_15	What is 6 plus 2?	8	1
103	5	wc_5_15	What is 6 plus 3?	9	1
104	5	wc_5_15	What is 6 plus 4?	10	1
105	5	wc_5_15	What is 6 plus 5?	11	1
106	5	wc_5_15	What is 6 plus 6?	12	1
107	5	wc_5_15	What is 6 plus 7?	13	1
108	5	wc_5_15	What is 6 plus 8?	14	1
109	5	wc_5_15	What is 6 plus 9?	15	1
110	5	wc_5_15	What is 6 plus 10?	16	1
111	5	wc_5_15	What is 6 plus 11?	17	1
112	5	wc_5_15	What is 6 plus 12?	18	1
113	5	wc_5_15	What is 6 plus 13?	19	1
114	5	wc_5_15	What is 6 plus 14?	20	1
115	5	wc_5_15	What is 6 plus 15?	21	1
116	5	wc_5_15	What is 6 plus 16?	22	1
117	5	wc_5_15	What is 6 plus 17?	23	1
118	5	wc_5_15	What is 6 plus 18?	24	1
119	5	wc_5_15	What is 6 plus 19?	25	1
120	5	wc_5_15	What is 6 plus 20?	26	1
121	5	wc_5_15	What is 7 plus 1?	8	1
122	5	wc_5_15	What is 7 plus 2?	9	1
123	5	wc_5_15	What is 7 plus 3?	10	1
124	5	wc_5_15	What is 7 plus 4?	11	1
125	5	wc_5_15	What is 7 plus 5?	12	1
126	5	wc_5_15	What is 7 plus 6?	13	1
127	5	wc_5_15	What is 7 plus 7?	14	1
128	5	wc_5_15	What is 7 plus 8?	15	1
129	5	wc_5_15	What is 7 plus 9?	16	1
130	5	wc_5_15	What is 7 plus 10?	17	1
131	5	wc_5_15	What is 7 plus 11?	18	1
132	5	wc_5_15	What is 7 plus 12?	19	1
133	5	wc_5_15	What is 7 plus 13?	20	1
134	5	wc_5_15	What is 7 plus 14?	21	1
135	5	wc_5_15	What is 7 plus 15?	22	1
136	5	wc_5_15	What is 7 plus 16?	23	1
137	5	wc_5_15	What is 7 plus 17?	24	1
138	5	wc_5_15	What is 7 plus 18?	25	1
139	5	wc_5_15	What is 7 plus 19?	26	1
140	5	wc_5_15	What is 7 plus 20?	27	1
141	5	wc_5_15	What is 8 plus 1?	9	1
142	5	wc_5_15	What is 8 plus 2?	10	1
143	5	wc_5_15	What is 8 plus 3?	11	1
144	5	wc_5_15	What is 8 plus 4?	12	1
145	5	wc_5_15	What is 8 plus 5?	13	1
146	5	wc_5_15	What is 8 plus 6?	14	1
147	5	wc_5_15	What is 8 plus 7?	15	1
148	5	wc_5_15	What is 8 plus 8?	16	1
149	5	wc_5_15	What is 8 plus 9?	17	1
150	5	wc_5_15	What is 8 plus 10?	18	1
151	5	wc_5_15	What is 8 plus 11?	19	1
152	5	wc_5_15	What is 8 plus 12?	20	1
153	5	wc_5_15	What is 8 plus 13?	21	1
154	5	wc_5_15	What is 8 plus 14?	22	1
155	5	wc_5_15	What is 8 plus 15?	23	1
156	5	wc_5_15	What is 8 plus 16?	24	1
157	5	wc_5_15	What is 8 plus 17?	25	1
158	5	wc_5_15	What is 8 plus 18?	26	1
159	5	wc_5_15	What is 8 plus 19?	27	1
160	5	wc_5_15	What is 8 plus 20?	28	1
161	5	wc_5_15	What is 9 plus 1?	10	1
162	5	wc_5_15	What is 9 plus 2?	11	1
163	5	wc_5_15	What is 9 plus 3?	12	1
164	5	wc_5_15	What is 9 plus 4?	13	1
165	5	wc_5_15	What is 9 plus 5?	14	1
166	5	wc_5_15	What is 9 plus 6?	15	1
167	5	wc_5_15	What is 9 plus 7?	16	1
168	5	wc_5_15	What is 9 plus 8?	17	1
169	5	wc_5_15	What is 9 plus 9?	18	1
170	5	wc_5_15	What is 9 plus 10?	19	1
171	5	wc_5_15	What is 9 plus 11?	20	1
172	5	wc_5_15	What is 9 plus 12?	21	1
173	5	wc_5_15	What is 9 plus 13?	22	1
174	5	wc_5_15	What is 9 plus 14?	23	1
175	5	wc_5_15	What is 9 plus 15?	24	1
176	5	wc_5_15	What is 9 plus 16?	25	1
177	5	wc_5_15	What is 9 plus 17?	26	1
178	5	wc_5_15	What is 9 plus 18?	27	1
179	5	wc_5_15	What is 9 plus 19?	28	1
180	5	wc_5_15	What is 9 plus 20?	29	1
181	5	wc_5_15	What is 10 plus 1?	11	1
182	5	wc_5_15	What is 10 plus 2?	12	1
183	5	wc_5_15	What is 10 plus 3?	13	1
184	5	wc_5_15	What is 10 plus 4?	14	1
185	5	wc_5_15	What is 10 plus 5?	15	1
186	5	wc_5_15	What is 10 plus 6?	16	1
187	5	wc_5_15	What is 10 plus 7?	17	1
188	5	wc_5_15	What is 10 plus 8?	18	1
189	5	wc_5_15	What is 10 plus 9?	19	1
190	5	wc_5_15	What is 10 plus 10?	20	1
191	5	wc_5_15	What is 10 plus 11?	21	1
192	5	wc_5_15	What is 10 plus 12?	22	1
193	5	wc_5_15	What is 10 plus 13?	23	1
194	5	wc_5_15	What is 10 plus 14?	24	1
195	5	wc_5_15	What is 10 plus 15?	25	1
196	5	wc_5_15	What is 10 plus 16?	26	1
197	5	wc_5_15	What is 10 plus 17?	27	1
198	5	wc_5_15	What is 10 plus 18?	28	1
199	5	wc_5_15	What is 10 plus 19?	29	1
200	5	wc_5_15	What is 10 plus 20?	30	1
201	7	wc_5_15	What is 2 times 2? One number.	4	1
202	7	wc_5_15	What is 2 times 3? One number.	6	1
203	7	wc_5_15	What is 2 times 4? One number.	8	1
204	7	wc_5_15	What is 2 times 5? One number.	10	1
205	7	wc_5_15	What is 2 times 6? One number.	12	1
206	7	wc_5_15	What is 2 times 7? One number.	14	1
207	7	wc_5_15	What is 2 times 8? One number.	16	1
208	7	wc_5_15	What is 2 times 9? One number.	18	1
209	7	wc_5_15	What is 2 times 10? One number.	20	1
210	7	wc_5_15	What is 2 times 11? One number.	22	1
211	7	wc_5_15	What is 3 times 2? One number.	6	1
212	7	wc_5_15	What is 3 times 3? One number.	9	1
213	7	wc_5_15	What is 3 times 4? One number.	12	1
214	7	wc_5_15	What is 3 times 5? One number.	15	1
215	7	wc_5_15	What is 3 times 6? One number.	18	1
216	7	wc_5_15	What is 3 times 7? One number.	21	1
217	7	wc_5_15	What is 3 times 8? One number.	24	1
218	7	wc_5_15	What is 3 times 9? One number.	27	1
219	7	wc_5_15	What is 3 times 10? One number.	30	1
220	7	wc_5_15	What is 3 times 11? One number.	33	1
221	7	wc_5_15	What is 4 times 2? One number.	8	1
222	7	wc_5_15	What is 4 times 3? One number.	12	1
223	7	wc_5_15	What is 4 times 4? One number.	16	1
224	7	wc_5_15	What is 4 times 5? One number.	20	1
225	7	wc_5_15	What is 4 times 6? One number.	24	1
226	7	wc_5_15	What is 4 times 7? One number.	28	1
227	7	wc_5_15	What is 4 times 8? One number.	32	1
228	7	wc_5_15	What is 4 times 9? One number.	36	1
229	7	wc_5_15	What is 4 times 10? One number.	40	1
230	7	wc_5_15	What is 4 times 11? One number.	44	1
231	7	wc_5_15	What is 5 times 2? One number.	10	1
232	7	wc_5_15	What is 5 times 3? One number.	15	1
233	7	wc_5_15	What is 5 times 4? One number.	20	1
234	7	wc_5_15	What is 5 times 5? One number.	25	1
235	7	wc_5_15	What is 5 times 6? One number.	30	1
236	7	wc_5_15	What is 5 times 7? One number.	35	1
237	7	wc_5_15	What is 5 times 8? One number.	40	1
238	7	wc_5_15	What is 5 times 9? One number.	45	1
239	7	wc_5_15	What is 5 times 10? One number.	50	1
240	7	wc_5_15	What is 5 times 11? One number.	55	1
241	7	wc_5_15	What is 6 times 2? One number.	12	1
242	7	wc_5_15	What is 6 times 3? One number.	18	1
243	7	wc_5_15	What is 6 times 4? One number.	24	1
244	7	wc_5_15	What is 6 times 5? One number.	30	1
245	7	wc_5_15	What is 6 times 6? One number.	36	1
246	7	wc_5_15	What is 6 times 7? One number.	42	1
247	7	wc_5_15	What is 6 times 8? One number.	48	1
248	7	wc_5_15	What is 6 times 9? One number.	54	1
249	7	wc_5_15	What is 6 times 10? One number.	60	1
250	7	wc_5_15	What is 6 times 11? One number.	66	1
251	7	wc_5_15	What is 7 times 2? One number.	14	1
252	7	wc_5_15	What is 7 times 3? One number.	21	1
253	7	wc_5_15	What is 7 times 4? One number.	28	1
254	7	wc_5_15	What is 7 times 5? One number.	35	1
255	7	wc_5_15	What is 7 times 6? One number.	42	1
256	7	wc_5_15	What is 7 times 7? One number.	49	1
257	7	wc_5_15	What is 7 times 8? One number.	56	1
258	7	wc_5_15	What is 7 times 9? One number.	63	1
259	7	wc_5_15	What is 7 times 10? One number.	70	1
260	7	wc_5_15	What is 7 times 11? One number.	77	1
261	7	wc_5_15	What is 8 times 2? One number.	16	1
262	7	wc_5_15	What is 8 times 3? One number.	24	1
263	7	wc_5_15	What is 8 times 4? One number.	32	1
264	7	wc_5_15	What is 8 times 5? One number.	40	1
265	7	wc_5_15	What is 8 times 6? One number.	48	1
266	7	wc_5_15	What is 8 times 7? One number.	56	1
267	7	wc_5_15	What is 8 times 8? One number.	64	1
268	7	wc_5_15	What is 8 times 9? One number.	72	1
269	7	wc_5_15	What is 8 times 10? One number.	80	1
270	7	wc_5_15	What is 8 times 11? One number.	88	1
271	7	wc_5_15	What is 9 times 2? One number.	18	1
272	7	wc_5_15	What is 9 times 3? One number.	27	1
273	7	wc_5_15	What is 9 times 4? One number.	36	1
274	7	wc_5_15	What is 9 times 5? One number.	45	1
275	7	wc_5_15	What is 9 times 6? One number.	54	1
276	7	wc_5_15	What is 9 times 7? One number.	63	1
277	7	wc_5_15	What is 9 times 8? One number.	72	1
278	7	wc_5_15	What is 9 times 9? One number.	81	1
279	7	wc_5_15	What is 9 times 10? One number.	90	1
280	7	wc_5_15	What is 9 times 11? One number.	99	1
281	7	wc_5_15	What is 10 times 2? One number.	20	1
282	7	wc_5_15	What is 10 times 3? One number.	30	1
283	7	wc_5_15	What is 10 times 4? One number.	40	1
284	7	wc_5_15	What is 10 times 5? One number.	50	1
285	7	wc_5_15	What is 10 times 6? One number.	60	1
286	7	wc_5_15	What is 10 times 7? One number.	70	1
287	7	wc_5_15	What is 10 times 8? One number.	80	1
288	7	wc_5_15	What is 10 times 9? One number.	90	1
289	7	wc_5_15	What is 10 times 10? One number.	100	1
290	7	wc_5_15	What is 10 times 11? One number.	110	1
291	7	wc_5_15	What is 11 times 2? One number.	22	1
292	7	wc_5_15	What is 11 times 3? One number.	33	1
293	7	wc_5_15	What is 11 times 4? One number.	44	1
294	7	wc_5_15	What is 11 times 5? One number.	55	1
295	7	wc_5_15	What is 11 times 6? One number.	66	1
296	7	wc_5_15	What is 11 times 7? One number.	77	1
297	7	wc_5_15	What is 11 times 8? One number.	88	1
298	7	wc_5_15	What is 11 times 9? One number.	99	1
299	7	wc_5_15	What is 11 times 10? One number.	110	1
300	7	wc_5_15	What is 11 times 11? One number.	121	1
301	5	wc_5_15	Capital of france? One word.	paris	1
302	5	wc_5_15	Capital of germany? One word.	berlin	1
303	5	wc_5_15	Capital of japan? One word.	tokyo	1
304	5	wc_5_15	Capital of china? One word.	beijing	1
305	5	wc_5_15	Capital of italy? One word.	rome	1
306	5	wc_5_15	Capital of spain? One word.	madrid	1
307	5	wc_5_15	Capital of russia? One word.	moscow	1
308	5	wc_5_15	Capital of egypt? One word.	cairo	1
309	5	wc_5_15	Capital of mexico? One word.	mexico	1
310	5	wc_5_15	Capital of canada? One word.	ottawa	1
311	5	wc_5_15	Capital of greece? One word.	athens	1
312	5	wc_5_15	Capital of thailand? One word.	bangkok	1
313	5	wc_5_15	Capital of austria? One word.	vienna	1
314	5	wc_5_15	Capital of portugal? One word.	lisbon	1
315	5	wc_5_15	Capital of sweden? One word.	stockholm	1
316	5	wc_5_15	Capital of norway? One word.	oslo	1
317	5	wc_5_15	Capital of denmark? One word.	copenhagen	1
318	5	wc_5_15	Capital of finland? One word.	helsinki	1
319	5	wc_5_15	Capital of poland? One word.	warsaw	1
320	5	wc_5_15	Capital of ireland? One word.	dublin	1
321	6	wc_5_15	Reverse 'hello'. One token only please.	olleh	1
322	6	wc_5_15	Reverse 'world'. One token only please.	dlrow	1
323	6	wc_5_15	Reverse 'apple'. One token only please.	elppa	1
324	6	wc_5_15	Reverse 'table'. One token only please.	elbat	1
325	6	wc_5_15	Reverse 'chair'. One token only please.	riahc	1
326	6	wc_5_15	Reverse 'lemon'. One token only please.	nomel	1
327	6	wc_5_15	Reverse 'river'. One token only please.	revir	1
328	6	wc_5_15	Reverse 'stone'. One token only please.	enots	1
329	6	wc_5_15	Reverse 'light'. One token only please.	thgil	1
330	6	wc_5_15	Reverse 'plant'. One token only please.	tnalp	1
331	11	wc_5_15	11 plus 11 equals which integer? Reply with the integer only.	22	1
332	11	wc_5_15	11 plus 12 equals which integer? Reply with the integer only.	23	1
333	11	wc_5_15	11 plus 13 equals which integer? Reply with the integer only.	24	1
334	11	wc_5_15	11 plus 14 equals which integer? Reply with the integer only.	25	1
335	11	wc_5_15	11 plus 15 equals which integer? Reply with the integer only.	26	1
336	11	wc_5_15	11 plus 16 equals which integer? Reply with the integer only.	27	1
337	11	wc_5_15	11 plus 17 equals which integer? Reply with the integer only.	28	1
338	11	wc_5_15	11 plus 18 equals which integer? Reply with the integer only.	29	1
339	11	wc_5_15	11 plus 19 equals which integer? Reply with the integer only.	30	1
340	11	wc_5_15	11 plus 20 equals which integer? Reply with the integer only.	31	1
341	11	wc_5_15	12 plus 11 equals which integer? Reply with the integer only.	23	1
342	11	wc_5_15	12 plus 12 equals which integer? Reply with the integer only.	24	1
343	11	wc_5_15	12 plus 13 equals which integer? Reply with the integer only.	25	1
344	11	wc_5_15	12 plus 14 equals which integer? Reply with the integer only.	26	1
345	11	wc_5_15	12 plus 15 equals which integer? Reply with the integer only.	27	1
346	11	wc_5_15	12 plus 16 equals which integer? Reply with the integer only.	28	1
347	11	wc_5_15	12 plus 17 equals which integer? Reply with the integer only.	29	1
348	11	wc_5_15	12 plus 18 equals which integer? Reply with the integer only.	30	1
349	11	wc_5_15	12 plus 19 equals which integer? Reply with the integer only.	31	1
350	11	wc_5_15	12 plus 20 equals which integer? Reply with the integer only.	32	1
351	11	wc_5_15	13 plus 11 equals which integer? Reply with the integer only.	24	1
352	11	wc_5_15	13 plus 12 equals which integer? Reply with the integer only.	25	1
353	11	wc_5_15	13 plus 13 equals which integer? Reply with the integer only.	26	1
354	11	wc_5_15	13 plus 14 equals which integer? Reply with the integer only.	27	1
355	11	wc_5_15	13 plus 15 equals which integer? Reply with the integer only.	28	1
356	11	wc_5_15	13 plus 16 equals which integer? Reply with the integer only.	29	1
357	11	wc_5_15	13 plus 17 equals which integer? Reply with the integer only.	30	1
358	11	wc_5_15	13 plus 18 equals which integer? Reply with the integer only.	31	1
359	11	wc_5_15	13 plus 19 equals which integer? Reply with the integer only.	32	1
360	11	wc_5_15	13 plus 20 equals which integer? Reply with the integer only.	33	1
361	11	wc_5_15	14 plus 11 equals which integer? Reply with the integer only.	25	1
362	11	wc_5_15	14 plus 12 equals which integer? Reply with the integer only.	26	1
363	11	wc_5_15	14 plus 13 equals which integer? Reply with the integer only.	27	1
364	11	wc_5_15	14 plus 14 equals which integer? Reply with the integer only.	28	1
365	11	wc_5_15	14 plus 15 equals which integer? Reply with the integer only.	29	1
366	11	wc_5_15	14 plus 16 equals which integer? Reply with the integer only.	30	1
367	11	wc_5_15	14 plus 17 equals which integer? Reply with the integer only.	31	1
368	11	wc_5_15	14 plus 18 equals which integer? Reply with the integer only.	32	1
369	11	wc_5_15	14 plus 19 equals which integer? Reply with the integer only.	33	1
370	11	wc_5_15	14 plus 20 equals which integer? Reply with the integer only.	34	1
371	11	wc_5_15	15 plus 11 equals which integer? Reply with the integer only.	26	1
372	11	wc_5_15	15 plus 12 equals which integer? Reply with the integer only.	27	1
373	11	wc_5_15	15 plus 13 equals which integer? Reply with the integer only.	28	1
374	11	wc_5_15	15 plus 14 equals which integer? Reply with the integer only.	29	1
375	11	wc_5_15	15 plus 15 equals which integer? Reply with the integer only.	30	1
376	11	wc_5_15	15 plus 16 equals which integer? Reply with the integer only.	31	1
377	11	wc_5_15	15 plus 17 equals which integer? Reply with the integer only.	32	1
378	11	wc_5_15	15 plus 18 equals which integer? Reply with the integer only.	33	1
379	11	wc_5_15	15 plus 19 equals which integer? Reply with the integer only.	34	1
380	11	wc_5_15	15 plus 20 equals which integer? Reply with the integer only.	35	1
381	11	wc_5_15	16 plus 11 equals which integer? Reply with the integer only.	27	1
382	11	wc_5_15	16 plus 12 equals which integer? Reply with the integer only.	28	1
383	11	wc_5_15	16 plus 13 equals which integer? Reply with the integer only.	29	1
384	11	wc_5_15	16 plus 14 equals which integer? Reply with the integer only.	30	1
385	11	wc_5_15	16 plus 15 equals which integer? Reply with the integer only.	31	1
386	11	wc_5_15	16 plus 16 equals which integer? Reply with the integer only.	32	1
387	11	wc_5_15	16 plus 17 equals which integer? Reply with the integer only.	33	1
388	11	wc_5_15	16 plus 18 equals which integer? Reply with the integer only.	34	1
389	11	wc_5_15	16 plus 19 equals which integer? Reply with the integer only.	35	1
390	11	wc_5_15	16 plus 20 equals which integer? Reply with the integer only.	36	1
391	11	wc_5_15	17 plus 11 equals which integer? Reply with the integer only.	28	1
392	11	wc_5_15	17 plus 12 equals which integer? Reply with the integer only.	29	1
393	11	wc_5_15	17 plus 13 equals which integer? Reply with the integer only.	30	1
394	11	wc_5_15	17 plus 14 equals which integer? Reply with the integer only.	31	1
395	11	wc_5_15	17 plus 15 equals which integer? Reply with the integer only.	32	1
396	11	wc_5_15	17 plus 16 equals which integer? Reply with the integer only.	33	1
397	11	wc_5_15	17 plus 17 equals which integer? Reply with the integer only.	34	1
398	11	wc_5_15	17 plus 18 equals which integer? Reply with the integer only.	35	1
399	11	wc_5_15	17 plus 19 equals which integer? Reply with the integer only.	36	1
400	11	wc_5_15	17 plus 20 equals which integer? Reply with the integer only.	37	1
401	19	wc_16_30	Compute the sum of integer 11 and integer 11 and reply with the result as a single integer only.	22	1
402	19	wc_16_30	Compute the sum of integer 11 and integer 12 and reply with the result as a single integer only.	23	1
403	19	wc_16_30	Compute the sum of integer 11 and integer 13 and reply with the result as a single integer only.	24	1
404	19	wc_16_30	Compute the sum of integer 11 and integer 14 and reply with the result as a single integer only.	25	1
405	19	wc_16_30	Compute the sum of integer 11 and integer 15 and reply with the result as a single integer only.	26	1
406	19	wc_16_30	Compute the sum of integer 11 and integer 16 and reply with the result as a single integer only.	27	1
407	19	wc_16_30	Compute the sum of integer 11 and integer 17 and reply with the result as a single integer only.	28	1
408	19	wc_16_30	Compute the sum of integer 11 and integer 18 and reply with the result as a single integer only.	29	1
409	19	wc_16_30	Compute the sum of integer 11 and integer 19 and reply with the result as a single integer only.	30	1
410	19	wc_16_30	Compute the sum of integer 11 and integer 20 and reply with the result as a single integer only.	31	1
411	19	wc_16_30	Compute the sum of integer 11 and integer 21 and reply with the result as a single integer only.	32	1
412	19	wc_16_30	Compute the sum of integer 11 and integer 22 and reply with the result as a single integer only.	33	1
413	19	wc_16_30	Compute the sum of integer 11 and integer 23 and reply with the result as a single integer only.	34	1
414	19	wc_16_30	Compute the sum of integer 11 and integer 24 and reply with the result as a single integer only.	35	1
415	19	wc_16_30	Compute the sum of integer 11 and integer 25 and reply with the result as a single integer only.	36	1
416	19	wc_16_30	Compute the sum of integer 11 and integer 26 and reply with the result as a single integer only.	37	1
417	19	wc_16_30	Compute the sum of integer 11 and integer 27 and reply with the result as a single integer only.	38	1
418	19	wc_16_30	Compute the sum of integer 11 and integer 28 and reply with the result as a single integer only.	39	1
419	19	wc_16_30	Compute the sum of integer 11 and integer 29 and reply with the result as a single integer only.	40	1
420	19	wc_16_30	Compute the sum of integer 11 and integer 30 and reply with the result as a single integer only.	41	1
421	19	wc_16_30	Compute the sum of integer 12 and integer 11 and reply with the result as a single integer only.	23	1
422	19	wc_16_30	Compute the sum of integer 12 and integer 12 and reply with the result as a single integer only.	24	1
423	19	wc_16_30	Compute the sum of integer 12 and integer 13 and reply with the result as a single integer only.	25	1
424	19	wc_16_30	Compute the sum of integer 12 and integer 14 and reply with the result as a single integer only.	26	1
425	19	wc_16_30	Compute the sum of integer 12 and integer 15 and reply with the result as a single integer only.	27	1
426	19	wc_16_30	Compute the sum of integer 12 and integer 16 and reply with the result as a single integer only.	28	1
427	19	wc_16_30	Compute the sum of integer 12 and integer 17 and reply with the result as a single integer only.	29	1
428	19	wc_16_30	Compute the sum of integer 12 and integer 18 and reply with the result as a single integer only.	30	1
429	19	wc_16_30	Compute the sum of integer 12 and integer 19 and reply with the result as a single integer only.	31	1
430	19	wc_16_30	Compute the sum of integer 12 and integer 20 and reply with the result as a single integer only.	32	1
431	19	wc_16_30	Compute the sum of integer 12 and integer 21 and reply with the result as a single integer only.	33	1
432	19	wc_16_30	Compute the sum of integer 12 and integer 22 and reply with the result as a single integer only.	34	1
433	19	wc_16_30	Compute the sum of integer 12 and integer 23 and reply with the result as a single integer only.	35	1
434	19	wc_16_30	Compute the sum of integer 12 and integer 24 and reply with the result as a single integer only.	36	1
435	19	wc_16_30	Compute the sum of integer 12 and integer 25 and reply with the result as a single integer only.	37	1
436	19	wc_16_30	Compute the sum of integer 12 and integer 26 and reply with the result as a single integer only.	38	1
437	19	wc_16_30	Compute the sum of integer 12 and integer 27 and reply with the result as a single integer only.	39	1
438	19	wc_16_30	Compute the sum of integer 12 and integer 28 and reply with the result as a single integer only.	40	1
439	19	wc_16_30	Compute the sum of integer 12 and integer 29 and reply with the result as a single integer only.	41	1
440	19	wc_16_30	Compute the sum of integer 12 and integer 30 and reply with the result as a single integer only.	42	1
441	19	wc_16_30	Compute the sum of integer 13 and integer 11 and reply with the result as a single integer only.	24	1
442	19	wc_16_30	Compute the sum of integer 13 and integer 12 and reply with the result as a single integer only.	25	1
443	19	wc_16_30	Compute the sum of integer 13 and integer 13 and reply with the result as a single integer only.	26	1
444	19	wc_16_30	Compute the sum of integer 13 and integer 14 and reply with the result as a single integer only.	27	1
445	19	wc_16_30	Compute the sum of integer 13 and integer 15 and reply with the result as a single integer only.	28	1
446	19	wc_16_30	Compute the sum of integer 13 and integer 16 and reply with the result as a single integer only.	29	1
447	19	wc_16_30	Compute the sum of integer 13 and integer 17 and reply with the result as a single integer only.	30	1
448	19	wc_16_30	Compute the sum of integer 13 and integer 18 and reply with the result as a single integer only.	31	1
449	19	wc_16_30	Compute the sum of integer 13 and integer 19 and reply with the result as a single integer only.	32	1
450	19	wc_16_30	Compute the sum of integer 13 and integer 20 and reply with the result as a single integer only.	33	1
