rung	params_b	img	axis	expected	wall_ms	correct	output_snippet
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	shape_circle	shape	circle	5151	1	Circle
Qwen2.5-VL-7B-Instruct-Q4_K_M	7.0	count_5	count	5	11229	1	5
Qwen2.5-VL-7B-Instruct-Q4_K_M	7.0	count_6	count	6	7899	1	6
Qwen2.5-VL-7B-Instruct-Q4_K_M	7.0	count_7	count	7	6684	1	7
Qwen2.5-VL-7B-Instruct-Q4_K_M	7.0	count_8	count	8	7184	1	8
Qwen2.5-VL-7B-Instruct-Q4_K_M	7.0	count_9	count	9	8798	1	9
Qwen2.5-VL-7B-Instruct-Q4_K_M	7.0	ocr_opengate	ocr	gate	5733	1	OPEN GATE
Qwen2.5-VL-7B-Instruct-Q4_K_M	7.0	ocr_redtruck	ocr	truck	5153	1	RED TRUCK
Qwen2.5-VL-7B-Instruct-Q4_K_M	7.0	ocr_bluestone	ocr	stone	5169	1	BLUE STONE
Qwen2.5-VL-7B-Instruct-Q4_K_M	7.0	ocr_greenleaf	ocr	leaf	4748	1	GREEN LEAF
Qwen2.5-VL-7B-Instruct-Q4_K_M	7.0	spatial_left_red	spatial	red	5662	1	Red
Qwen2.5-VL-7B-Instruct-Q4_K_M	7.0	spatial_right_blue	spatial	blue	4658	1	Blue
Qwen2.5-VL-7B-Instruct-Q4_K_M	7.0	spatial_above_green	spatial	green	5165	1	Green
Qwen2.5-VL-7B-Instruct-Q4_K_M	7.0	spatial_below_orange	spatial	orange	4633	1	Orange
Qwen2.5-VL-7B-Instruct-Q4_K_M	7.0	shape_triangle	shape	triangle	6190	1	Triangle
Qwen2.5-VL-7B-Instruct-Q4_K_M	7.0	shape_square	shape	square	8211	1	Square
Qwen2.5-VL-7B-Instruct-Q4_K_M	7.0	shape_circle	shape	circle	8234	1	Circle
